category,name,dataType,externalAccess,source,description,initialValue,drawingMapping
"Physical DI — maintained","DI_SafetyChainHealthy","BOOL","Read Only","Local:1:I.Data.0","Safety chain healthy simulation. Status input only. A real emergency stop remains hardwired and safety-rated.","","M01"
"Physical DI — maintained","DI_ControlPowerHealthy","BOOL","Read Only","Local:1:I.Data.1","Control power healthy. Drops every close permissive.","","M02"
"Physical DI — maintained","DI_RemoteMode","BOOL","Read Only","Local:1:I.Data.2","Local / remote selector. ON selects HMI/trainer remote control.","","M03"
"Physical DI — maintained","DI_SourceAvailable","BOOL","Read Only","Local:1:I.Data.3","138 kV source available. Simulation of incoming-source and high-side availability—not a live voltage indication.","","M04"
"Physical DI — maintained","DI_XfmrProtectionHealthy","BOOL","Read Only","Local:1:I.Data.4","Main transformer protection healthy. Composite trainer contact; actual relay alarm/trip contacts remain separate.","","M05"
"Physical DI — maintained","DI_MVRelayHealthy","BOOL","Read Only","Local:1:I.Data.5","4.16 kV protection healthy. Composite trainer health input for the drawing-observed protective-relay layer.","","M06"
"Physical DI — maintained","DI_CBMain_52a","BOOL","Read Only","Local:1:I.Data.6","4.16 kV main breaker closed. Trainer has one contact per breaker; 52b may be derived only in training mode.","","M07"
"Physical DI — maintained","DI_CBCap1_52a","BOOL","Read Only","Local:1:I.Data.7","CAP-1 breaker closed. Drives CAP-1 state and proven-operation count.","","M08"
"Physical DI — maintained","DI_CBCap2_52a","BOOL","Read Only","Local:1:I.Data.8","CAP-2 breaker closed. Drives CAP-2 state and proven-operation count.","","M09"
"Physical DI — maintained","DI_CBCap3_52a","BOOL","Read Only","Local:1:I.Data.9","CAP-3 breaker closed. Drives CAP-3 state and proven-operation count.","","M10"
"Physical DI — maintained","DI_CBCap4_52a","BOOL","Read Only","Local:1:I.Data.10","CAP-4 breaker closed. Drives CAP-4 state and proven-operation count.","","M11"
"Physical DI — maintained","DI_K1AtBreaker","BOOL","Read Only","Local:1:I.Data.11","K1 inserted/trapped at CAP-1 breaker. Simulation of key-position indication; the physical key system remains mechanical.","","M12"
"Physical DI — maintained","DI_K2AtBreaker","BOOL","Read Only","Local:1:I.Data.12","K2 inserted/trapped at CAP-2 breaker. Independent CAP-2 close proof.","","M13"
"Physical DI — maintained","DI_K3AtBreaker","BOOL","Read Only","Local:1:I.Data.13","K3 inserted/trapped at CAP-3 breaker. Independent CAP-3 close proof.","","M14"
"Physical DI — maintained","DI_K4AtBreaker","BOOL","Read Only","Local:1:I.Data.14","K4 inserted/trapped at CAP-4 breaker. Independent CAP-4 close proof.","","M15"
"Physical DI — momentary","DI_PB_CBMain_Close","BOOL","Read Only","Local:2:I.Data.0","4.16 kV MAIN CLOSE; Request.","","P01"
"Physical DI — momentary","DI_PB_CBMain_Open","BOOL","Read Only","Local:2:I.Data.1","4.16 kV MAIN OPEN; Request.","","P02"
"Physical DI — momentary","DI_PB_Cap1_Close","BOOL","Read Only","Local:2:I.Data.2","CAP-1 CLOSE; Request.","","P03"
"Physical DI — momentary","DI_PB_Cap1_Open","BOOL","Read Only","Local:2:I.Data.3","CAP-1 OPEN; Request.","","P04"
"Physical DI — momentary","DI_PB_Cap2_Close","BOOL","Read Only","Local:2:I.Data.4","CAP-2 CLOSE; Request.","","P05"
"Physical DI — momentary","DI_PB_Cap2_Open","BOOL","Read Only","Local:2:I.Data.5","CAP-2 OPEN; Request.","","P06"
"Physical DI — momentary","DI_PB_Cap3_Close","BOOL","Read Only","Local:2:I.Data.6","CAP-3 CLOSE; Request.","","P07"
"Physical DI — momentary","DI_PB_Cap3_Open","BOOL","Read Only","Local:2:I.Data.7","CAP-3 OPEN; Request.","","P08"
"Physical DI — momentary","DI_PB_Cap4_Close","BOOL","Read Only","Local:2:I.Data.8","CAP-4 CLOSE; Request.","","P09"
"Physical DI — momentary","DI_PB_Cap4_Open","BOOL","Read Only","Local:2:I.Data.9","CAP-4 OPEN; Request.","","P10"
"Physical DI — momentary","DI_PB_MasterTrip","BOOL","Read Only","Local:2:I.Data.10","MASTER TRIP; Trip input.","","P11"
"Physical DI — momentary","DI_PB_86Reset","BOOL","Read Only","Local:2:I.Data.11","86 RESET; Reset request.","","P12"
"Physical DI — momentary","DI_PB_AlarmAck","BOOL","Read Only","Local:2:I.Data.12","ALARM ACKNOWLEDGE; Acknowledge.","","P13"
"Physical DI — momentary","DI_PB_CountReset","BOOL","Read Only","Local:2:I.Data.13","COUNTER RESET; Maintenance request.","","P14"
"Physical DI — momentary","DI_PB_LampTest","BOOL","Read Only","Local:2:I.Data.14","LAMP TEST; Test.","","P15"
"Physical AI","AI_SelectedCapCurrentRaw","DINT","Read Only","Local:3:I.Ch0Data","Potentiometer 1 — selected-bank isolated CT/current simulator. HMI selects CAP-1…4 for one-at-a-time checkout. Never connect a trainer input to an energized CT secondary.","","AI01"
"Physical AI","AI_BusVoltageRaw","DINT","Read Only","Local:3:I.Ch1Data","Potentiometer 2 — isolated 4.16 kV bus VT simulator. Use percent-of-nominal until the approved VT ratio and module calibration are transcribed.","","AI02"
"Physical DO — LED","DO_LED_ControlHealthy","BOOL","None","Local:4:O.Data.0","CONTROL HEALTHY","FALSE","G01"
"Physical DO — LED","DO_LED_BusEnergized","BOOL","None","Local:4:O.Data.1","4.16 kV BUS ENERGIZED","FALSE","G02"
"Physical DO — LED","DO_LED_Cap1Closed","BOOL","None","Local:4:O.Data.2","CAP-1 CLOSED","FALSE","G03"
"Physical DO — LED","DO_LED_Cap2Closed","BOOL","None","Local:4:O.Data.3","CAP-2 CLOSED","FALSE","G04"
"Physical DO — LED","DO_LED_Cap3Closed","BOOL","None","Local:4:O.Data.4","CAP-3 CLOSED","FALSE","G05"
"Physical DO — LED","DO_LED_Cap4Closed","BOOL","None","Local:4:O.Data.5","CAP-4 CLOSED","FALSE","G06"
"Physical DO — LED","DO_LED_TripLockout","BOOL","None","Local:4:O.Data.6","TRIP / 86 LOCKOUT","FALSE","A01"
"Physical DO — LED","DO_LED_KeyRelease","BOOL","None","Local:4:O.Data.7","SELECTED KEY RELEASE PERMITTED","FALSE","A02"
"Configuration","SYS_SimMode","BOOL","Read/Write","","Internal breaker/plant model enabled; mutually exclusive with trainer mode.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Configuration","SYS_TrainerMode","BOOL","Read/Write","","Isolated physical trainer enabled; requires transition permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Configuration","SIM_SelectedCapBank","DINT","Read/Write","","Selected bank 1 through 4 for the single current pot and amber release indication.","1","NORMALIZED — TRANSCRIBE PDF"
"Diagnostics","SYS_IOHealthy","BOOL","Read Only","","Combined module/input quality used by every close permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Diagnostics","SYS_HMIHeartbeat","DINT","Read/Write","","Wonderware heartbeat value; never used as a protective trip.","0","NORMALIZED — TRANSCRIBE PDF"
"Analog","AI_SelectedCapCurrent_Pct","REAL","Read Only","","Scaled selected capacitor-bank current simulator.","0.0","NORMALIZED — TRANSCRIBE PDF"
"Analog","AI_SelectedCapCurrent_QualityGood","BOOL","Read Only","","True only when module and configured raw range are valid.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Analog","AI_BusVoltage_Pct","REAL","Read Only","","Scaled 4.16 kV bus voltage simulator, percent of nominal.","0.0","NORMALIZED — TRANSCRIBE PDF"
"Analog","AI_BusVoltage_QualityGood","BOOL","Read Only","","True only when module and configured raw range are valid.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"State","BUS4KV_Energized","BOOL","Read Only","","Source, main breaker, voltage proof and quality-derived training state.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"State","CBMain_52b_Training","BOOL","Read Only","","Training-only complement of 52a; never claim independent open proof.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Trips","TRIP_Any","BOOL","Read Only","","OR of individual imported relay trips and trainer master trip.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Trips","TRIP_FirstOutCode","DINT","Read Only","","First active cause code; explicit rung order defines simultaneous priority.","0","NORMALIZED — TRANSCRIBE PDF"
"Trips","L_86Lockout","BOOL","Read Only","","Training lockout latch; actual relay/hardwired 86 remains authoritative.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Permissive","P_CBMain_Close","BOOL","Read Only","","All conditions needed to accept a main close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CBMain_Close","BOOL","Read/Write","","Momentary HMI request; PLC self-clears on accept or reject.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CBMain_Open","BOOL","Read/Write","","Momentary HMI request; open/trip dominates close.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_86Reset","BOOL","Read/Write","","Reset request only; can never create a close.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_AlarmAck","BOOL","Read/Write","","Acknowledges alarm display; does not clear trip or lockout.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP1_ClosePerm","BOOL","Read Only","","Independent CAP-1 close permissive.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP1_KeyAtBreaker","BOOL","Read Only","","Conditioned K1 key-at-breaker state.","TRUE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP1_NoCurrentProof","BOOL","Read Only","","Valid only when bank 1 is selected and analog quality is good.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP1_ReleasePermitted","BOOL","Read Only","","Supplemental indication after open/no-current/discharge proofs.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"Cap state","CAP1_BlockCode","DINT","Read Only","","First/priority close block reason for HMI faceplate.","0","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP1_Close","BOOL","Read/Write","","Momentary CAP-1 close request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_CAP1_Open","BOOL","Read/Write","","Momentary CAP-1 open request; PLC self-clears.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"HMI request","HMI_REQ_K1Release","BOOL","Read/Write","","K1 release-sequence request; supplemental PLC supervision only.","FALSE","NORMALIZED — TRANSCRIBE PDF"
"One-shot","OSR_CAP1_CloseReq","BOOL","None","","Dedicated ONS storage for CAP-1 close request.","FALSE","NORMALIZED — TRANSCRIBE PDF"
